,mean_agent1,mean_agent2,std_agent1,std_agent2
Simple_approach_augmented + Curiosity 0.1,-43.90202486999321,-64.78501611211261,122.34637852698104,100.00488495892584
Simple_approch_augmented + Curiosity 0.8,-118.80599925682567,-128.7008000448093,61.17221762970733,72.82424901171885
Simple_approach_non_augmented  + Curiosity 0.1,100.08299986892537,75.19624162161064,153.59607900461168,99.37558849122487
Simple_apprach_non_augmented + Curiosity 0.8,-192.79296530647375,-109.61483857473705,108.98299965193995,71.08345655116668
Feature_base_augmented + Curiosity 0.1,22.023438030988718,20.85097775345073,24.806505672348052,31.700578655897814
Feature_based_augmented + Curiosity 0.8,-95.24496308594681,-95.88905529920824,52.7154461533126,53.02054410497954
Feature_based_non_augmented + Curiosity 0.1,38.071335184998325,71.0004262644721,47.12594982603346,100.0598934359895
Feature_baded_non_augmented + Curiosity 0.8,114.69836773187153,-258.2477322906286,396.1715681566345,141.70350408211934
RND_augmented + Curioisty 0.1,42.97042319511501,48.5105743002833,58.675877111332625,73.5198429155767
RND_augmented + Curosity 0.8,-109.73812659800568,-109.1560095354101,59.77157875565869,59.4480147773311
RND_non_augmented + Curosity 0.1,53.22639155153197,52.76933953244244,82.56663441382364,65.05233725392927
